origin_date,target,horizon_months,y_true,VAR,Ridge,ElasticNet,LSTM_Adam,LSTM_SGD,GRU_Adam,GRU_SGD
2004-09-01,t10y2y,1,1.49,1.492561103623899,1.5007597040459946,1.462078847547639,2.099478960037231,1.9729790687561035,2.015064001083374,1.2387949228286743
2004-10-01,t10y2y,1,1.34,1.434781329375265,1.3952279468107944,1.438373110153872,1.9874621629714968,1.8346253633499143,1.8623745441436768,1.1492975950241089
2004-11-01,t10y2y,1,1.16,1.385537719629526,1.2664114269382307,1.297654607590841,1.8754254579544067,1.6435004472732544,1.677915096282959,0.9353829622268676
2004-12-01,t10y2y,1,0.85,1.2276638416020391,1.1417442094809471,1.1321308282469134,1.8729591369628904,1.595066785812378,1.5452865362167358,0.8486363887786865
2005-01-01,t10y2y,1,0.77,0.8682403463156513,0.9034919249277348,0.8404116656424685,1.145465612411499,0.9874656796455384,0.9098147749900818,0.9694821834564208
2005-02-01,t10y2y,1,0.7,0.8937093343433563,0.7451945179581708,0.7615490489151354,1.1131315231323242,0.8362676501274109,0.751441478729248,0.7895616292953491
2005-03-01,t10y2y,1,0.55,0.6550172978586974,0.7422071585916399,0.6974287069524634,1.0031533241271973,0.698803722858429,0.6739810109138489,0.6382606029510498
2005-04-01,t10y2y,1,0.4,0.584599251818678,0.5849916821871812,0.5519603547758247,0.969883680343628,0.6169790029525757,0.5333973169326782,0.5322662591934204
2005-05-01,t10y2y,1,0.28,0.5244748893851621,0.4785936079627019,0.4097795951633803,0.9296978712081908,0.5169798135757446,0.4435449838638305,0.3860234916210174
2005-06-01,t10y2y,1,0.26,0.2051050226628179,0.2942896468073891,0.2823264196689399,0.867486834526062,0.438144326210022,0.323754072189331,0.1984280049800872
2005-07-01,t10y2y,1,0.18,0.3112210185496903,0.171040635753275,0.2568952269968269,0.8574365377426147,0.3353717923164367,0.2981741726398468,-0.0337989628314971
2005-08-01,t10y2y,1,0.16,0.1449735522217219,0.0855500522120473,0.1657159375636356,0.8469196557998657,0.2895517349243164,0.2408879399299621,-0.1561416387557983
2005-09-01,t10y2y,1,0.17,0.2561798000068234,0.0569026937226146,0.1393543785850701,0.8643016815185547,0.2618557512760162,0.2566444277763366,-0.239526480436325
2005-10-01,t10y2y,1,0.07,0.3554870721268395,0.1065297835810683,0.1550482787282523,0.8772941827774048,0.2387596815824508,0.2325738370418548,-0.2583934366703033
2005-11-01,t10y2y,1,-0.02,-0.0693419443935393,-0.0235670831682229,0.0866979501939207,0.86285799741745,0.2359128147363662,0.2496999204158783,-0.2603441178798675
2005-12-01,t10y2y,1,-0.01,-0.0083742251061433,-0.1429696795853331,0.001512532424972,0.8348395824432373,0.1838408559560775,0.1818926036357879,-0.2339465916156768
2006-01-01,t10y2y,1,-0.14,-0.0454021662601183,-0.1819444348435203,0.0084269285794841,-0.0318597294390201,0.1494169682264328,-0.1330694407224655,-0.0518621504306793
2006-02-01,t10y2y,1,0.04,-0.0633266210317998,-0.222078361803358,-0.1089647711768837,-0.04755375161767,0.1048703342676162,-0.1041039824485778,-0.0706352591514587
2006-03-01,t10y2y,1,0.2,0.1070437847271122,-0.0102374296081958,0.056647520939643,-0.0264516212046146,0.0763696581125259,-0.1207539290189743,-0.0861217975616455
2006-04-01,t10y2y,1,0.08,0.2295619094834243,0.0901900153538594,0.2081233736740807,0.0040118657052516,0.0652457922697067,-0.1330957561731338,-0.0052359700202941
2006-05-01,t10y2y,1,-0.01,-0.0588413857692546,0.0100939330397754,0.0938839099868314,-0.0081999041140079,0.0630050301551818,-0.1143288165330886,-0.0078588724136352
2006-06-01,t10y2y,1,0.02,0.0586178519309897,-0.0228240306784552,0.009931850225055,-0.011709276586771,0.036800742149353,-0.1043668538331985,-0.0669404864311218
2006-07-01,t10y2y,1,-0.05,0.1167712272937429,0.0165064523824242,0.0391391558651078,0.0136932991445064,0.0359003394842147,-0.1355494856834411,-0.0861436128616333
2006-08-01,t10y2y,1,-0.07,0.036980437549943,-0.0193339005250919,-0.0198689154966507,-0.0198230482637882,0.0159191042184829,-0.1283779293298721,-0.1709204316139221
2006-09-01,t10y2y,1,-0.1,-0.0661029837882546,-0.0373608639112597,-0.0345067429178138,-0.0719244182109832,-0.0735057443380355,-0.1039399802684784,-0.2029222249984741
2006-10-01,t10y2y,1,-0.16,-0.1198018640043089,-0.1228305595145407,-0.0598933295521197,-0.0802422761917114,-0.1371656507253646,-0.1535835713148117,-0.2555544376373291
2006-11-01,t10y2y,1,-0.11,0.114911570358453,-0.119632020287836,-0.1169898069206557,-0.0682142674922943,-0.2119723707437515,-0.151546910405159,-0.2443843483924865
2006-12-01,t10y2y,1,-0.11,-0.1511154851729901,-0.0950502794374328,-0.074253452151709,-0.0893382132053375,-0.2605395317077636,-0.0967458039522171,-0.2571260333061218
2007-01-01,t10y2y,1,-0.09,0.0476093404023565,-0.1002303538048006,-0.0738491410758832,-0.0902798846364021,0.1071114614605903,-0.1584303379058838,-0.0514514930546283
2007-02-01,t10y2y,1,0.07,-0.0958518431666849,-0.0862981659965842,-0.0600103660463323,-0.0886521860957145,0.1176280379295349,-0.1755611300468444,0.0369706265628337
2007-03-01,t10y2y,1,0.03,0.1195609288169677,-0.0704544798365131,0.0814717229054892,-0.0900746136903762,0.1113097295165062,-0.1868249475955963,0.1575432866811752
2007-04-01,t10y2y,1,-0.02,-0.0131243888357509,-0.0725682597240372,0.0195626201027119,-0.0948876366019249,0.0939897000789642,-0.1779245436191558,0.2511069476604461
2007-05-01,t10y2y,1,0.16,0.0140919739724441,-0.0407536395873776,-0.035067756244699,-0.1073376387357711,0.0749163925647735,-0.1794599592685699,0.2583188414573669
2007-06-01,t10y2y,1,0.22,0.2501377456846946,0.162584763487001,0.1361822230635013,-0.0918224155902862,0.081531636416912,-0.1546337753534317,0.2227596491575241
2007-07-01,t10y2y,1,0.39,0.2226764737216178,0.25162382884032,0.1993644600382759,-0.1032447665929794,0.0797382816672325,-0.1705042123794555,0.2265378385782241
2007-08-01,t10y2y,1,0.62,0.463668988566515,0.4522557129196175,0.3700643368006865,-0.0803888887166976,0.10201396048069,-0.1914108693599701,0.2406604140996933
2007-09-01,t10y2y,1,0.54,0.5495067146225112,0.6507278221854879,0.5791511845239876,-0.0567506700754165,0.0854802280664444,-0.1608279049396515,0.4262074530124664
2007-10-01,t10y2y,1,0.93,0.4933917655809198,0.5963058756390005,0.5051325715124989,-0.0395788997411727,0.0676296800374984,-0.1096830666065216,0.5610688924789429
2007-11-01,t10y2y,1,0.99,0.911537577526314,1.0572143855225025,0.8759565838211063,0.0056987833231687,0.0680471882224083,-0.0475439690053463,0.632757306098938
2007-12-01,t10y2y,1,1.5,1.062552511041954,1.1072125105874626,0.9510357021556866,-0.0478389114141464,0.0629392936825752,0.0919740498065948,0.6522648334503174
2008-01-01,t10y2y,1,1.88,1.5373946981213722,1.552831284754738,1.4410734439586004,1.3535830974578855,0.6185605525970459,1.2247556447982788,0.8783167600631714
2008-02-01,t10y2y,1,1.83,1.7559898339484952,1.8868614692970884,1.825581981115598,1.5438405275344849,0.6754510998725891,1.3365482091903689,1.0779560804367063
2008-03-01,t10y2y,1,1.48,1.6987850672137528,1.9677801221046511,1.7825677486920644,1.678597331047058,0.6624628901481628,1.437140941619873,1.365077018737793
2008-04-01,t10y2y,1,1.4,1.373061102347067,1.6661749740955432,1.4480721695535523,1.7136346101760864,0.6665812730789185,1.484439492225647,1.5511811971664429
2008-05-01,t10y2y,1,1.36,1.493991120852213,1.5543875757163022,1.375419785852312,1.641575574874878,0.6536086797714233,1.5360289812088013,1.6168330907821655
2008-06-01,t10y2y,1,1.47,1.3870661591717446,1.5816640961814672,1.3558892859417526,1.5116024017333984,0.6220352649688721,1.599157214164734,1.582131266593933
2008-07-01,t10y2y,1,1.47,1.6176840003225563,1.7035060679572132,1.478727765424015,1.4916783571243286,0.6596282124519348,1.6133365631103516,1.6378484964370728
2008-08-01,t10y2y,1,1.85,1.5803313172199909,1.7041019338075785,1.4840204509444752,1.5223767757415771,0.723078191280365,1.6011085510253906,1.6790393590927124
2008-09-01,t10y2y,1,2.45,2.244150673219407,2.2432515262450288,1.8676287190377212,1.7523610591888428,0.9720560312271118,1.6454596519470217,2.096609354019165
2008-10-01,t10y2y,1,1.93,2.5146394493532203,2.8800111642287387,2.4776525606374302,1.792863845825195,1.2226417064666748,1.9142473936080933,2.320931196212769
2008-11-01,t10y2y,1,1.49,1.7857399260419022,2.130069323458011,1.949544009335317,2.002559185028076,1.2882444858551023,2.095102310180664,2.3518502712249756
2008-12-01,t10y2y,1,1.93,1.70347837339666,1.699702941776818,1.5400112539600646,2.09354567527771,1.4169293642044067,2.177915096282959,2.3573834896087646
2009-01-01,t10y2y,1,2.02,2.3274960793345065,2.169629696034529,1.971055608794979,2.042349338531494,2.188570022583008,1.9169068336486816,1.989084243774414
2009-02-01,t10y2y,1,1.9,2.269124123200225,2.238472073050798,2.0845970722051175,2.0135397911071777,2.1960766315460205,2.0466222763061523,1.9680900573730469
2009-03-01,t10y2y,1,2.25,2.3047510947598377,2.320360005816018,2.028113524555806,2.0337393283843994,2.2175474166870117,2.162794351577759,1.7714428901672363
2009-04-01,t10y2y,1,2.55,2.6395222792515365,2.525322578107,2.346685588429638,2.0011684894561768,2.271561622619629,2.250967502593994,1.643978714942932
2009-05-01,t10y2y,1,2.42,2.904591478271494,2.696966065699449,2.621751901340719,2.036210298538208,2.346702337265014,2.2534399032592773,1.5352132320404053
2009-06-01,t10y2y,1,2.39,2.592149830357161,2.5806427175860733,2.5093596321853977,2.091375827789306,2.345371723175049,2.314913272857666,1.5748175382614136
2009-07-01,t10y2y,1,2.43,2.5084864154081212,2.511554933512105,2.4802437794255097,2.1642606258392334,2.2829062938690186,2.2710671424865723,1.533693552017212
2009-08-01,t10y2y,1,2.36,2.3609831159037524,2.4354108169834774,2.502243532134651,2.177220344543457,2.2644200325012207,2.224675178527832,1.5726773738861084
2009-09-01,t10y2y,1,2.51,2.3418262408081887,2.4414343345633647,2.440778941527237,2.208925247192383,2.197313070297241,2.179903030395508,1.6310741901397705
2009-10-01,t10y2y,1,2.54,2.793539556205089,2.6403016329972333,2.590119900944304,2.274495840072632,2.178969621658325,2.1644914150238037,1.6749861240386963
2009-11-01,t10y2y,1,2.71,2.9184059989499342,2.756616829439812,2.6113691365415272,2.2662806510925293,2.119952917098999,2.1775381565093994,1.7660799026489258
